Street Address,City,State,ZIP
20 W Summit St,Lakewood,NY,14750
20 W Summit St,Lakewood,NY,14750
42 Dunham Ave,Celoron,NY,14701
42 Dunham Ave,Celoron,NY,14701
50 Commercial St,Gowanda,NY,14070
50 Commercial St,Gowanda,NY,14070
225 Wildwood Ave,Salamanca,NY,14779
28 Parkside Dr,Ellicottville,NY,14731
28 Parkside Dr,Ellicottville,NY,14731
65 Franklin St,Springville,NY,14141
65 Franklin St,Springville,NY,14141
29 Pearl St,Springville,NY,14141
29 Pearl St,Springville,NY,14141
17 Church St,Arcade,NY,14009
17 Church St,Arcade,NY,14009
9722 Genesee St,Houghton,NY,14744
9722 Genesee St,Houghton,NY,14744
405 W Main St,Batavia,NY,14020
23 E Buffalo St,Churchville,NY,14428
23 E Buffalo St,Churchville,NY,14428
16 East Ave,Spencerport,NY,14559
8440 NY-54,Hammondsport,NY,14840
4880 NY-414,Burdett,NY,14818
2 Executive Blvd,Montebello,NY,10901
2 Executive Blvd,Montebello,NY,10901
240 Meeting House Ln,Southampton,NY,11968
240 Meeting House Ln,Southampton,NY,11968
1930 Saranac Ave,Lake Placid,NY,12946
1930 Saranac Ave,Lake Placid,NY,12946
1 Locey Ln,Central Valley,NY,10917
1 Locey Ln,Central Valley,NY,10917
1 Locey Ln,Central Valley,NY,10917
1 Locey Ln,Central Valley,NY,10917
6211 Johnston Rd,Albany,NY,12203
6211 Johnston Rd,Albany,NY,12203
50 Center St,Ellenville,NY,12428
50 Center St,Ellenville,NY,12428
7 Hudson St,Kinderhook,NY,12106
7 Hudson St,Kinderhook,NY,12106
3211 Church St,Valatie,NY,12184
3211 Church St,Valatie,NY,12184
839 Kenwood Ave Rail Trail,Slingerlands,NY,12159
839 Kenwood Ave Rail Trail,Slingerlands,NY,12159
1300 Elmwood Ave,Buffalo,NY,14222
1300 Elmwood Ave,Buffalo,NY,14222
307 Bedford Rd,Bedford Hills,NY,10507
307 Bedford Rd,Bedford Hills,NY,10507
106 Fergerson Ave,Syracuse,NY,13212
106 Fergerson Ave,Syracuse,NY,13212
37 Dietz St,Oneonta,NY,13820
37 Dietz St,Oneonta,NY,13820
2144 Burdett Ave,Troy,NY,12180
1055 E Jericho Turnpike,Huntington,NY,11743
1055 E Jericho Turnpike,Huntington,NY,11743
415 W 2nd St,Elmira,NY,14901
415 W 2nd St,Elmira,NY,14901
142 Corporate Dr,Binghamton,NY,13904
142 Corporate Dr,Binghamton,NY,13904
575 Middle Country Rd,Selden,NY,11784
575 Middle Country Rd,Selden,NY,11784
2300 Southern Blvd,Bronx,NY,10460
2300 Southern Blvd,Bronx,NY,10460
2 Doubleday Ct,Cooperstown,NY,13326
1 Locks Plaza,Lockport,NY,14094
1 Locks Plaza,Lockport,NY,14094
780 Albany Shaker Rd,Albany,NY,12211
780 Albany Shaker Rd,Albany,NY,12211
37 Woodlawn Ave,Saratoga Springs,NY,12866
37 Woodlawn Ave,Saratoga Springs,NY,12866
56-18 69th St,Maspeth,NY,11378
56-18 69th St,Maspeth,NY,11378
2300 E River Rd,Rochester,NY,14623
2300 E River Rd,Rochester,NY,14623
239 Golden Hill Dr,Kingston,NY,12401
239 Golden Hill Dr,Kingston,NY,12401
30 Church St,Rochester,NY,14614
30 Church St,Rochester,NY,14614
100 Beaver St,Albany,NY,12207
100 Beaver St,Albany,NY,12207
1401 NY-5,Geneva,NY,14456
1401 NY-5,Geneva,NY,14456
3546 California Rd,Orchard Park,NY,14127
3546 California Rd,Orchard Park,NY,14127
488 Fairview Ave,Hudson,NY,12534
488 Fairview Ave,Hudson,NY,12534
76 E Market St,Rhinebeck,NY,12572
76 E Market St,Rhinebeck,NY,12572
5400 Butternut Drive,East Syracuse,NY,13057
5400 Butternut Drive,East Syracuse,NY,13057
7477 S Broadway,Red Hook,NY,12571
7477 S Broadway,Red Hook,NY,12571
443 East St,Rensselaer,NY,12144
443 East St,Rensselaer,NY,12144
Route 32 Lot,New Paltz,NY,12561
Route 32 Lot,New Paltz,NY,12561
Elting Gym Lot,New Paltz,NY,12561
Elting Gym Lot,New Paltz,NY,12561
79 Weibel Rd,Saratoga Springs,NY,12866
79 Weibel Rd,Saratoga Springs,NY,12866
380 US-9W,Glenmont,NY,12077
380 US-9W,Glenmont,NY,12077
1220 NY-146,Clifton Park,NY,12065
1220 NY-146,Clifton Park,NY,12065
54 Crossing Blvd,Clifton Park,NY,12065
54 Crossing Blvd,Clifton Park,NY,12065
1814 Central Ave,Albany,NY,12205
1814 Central Ave,Albany,NY,12205
5801 Rock Cut Rd,Jamesville,NY,13078
5801 Rock Cut Rd,Jamesville,NY,13078
40 Leigh St,Canton,NY,13617
40 Leigh St,Canton,NY,13617
2232 Delaware Ave,Buffalo,NY,14216
2232 Delaware Ave,Buffalo,NY,14216
1536 Military Rd,Niagara Falls,NY,14304
1536 Military Rd,Niagara Falls,NY,14304
3115 Niagara Falls Blvd,Buffalo,NY,14228
3115 Niagara Falls Blvd,Buffalo,NY,14228
1305 Buckley Rd,Syracuse,NY,13212
1305 Buckley Rd,Syracuse,NY,13212
300 Parkside Ave,Buffalo,NY,14214
300 Parkside Ave,Buffalo,NY,14214
104 Lake Dr,Liverpool,NY,13088
104 Lake Dr,Liverpool,NY,13088
1145 Niagara Falls Blvd,Amherst,NY,14226
1145 Niagara Falls Blvd,Amherst,NY,14226
126 South St,Glens Falls,NY,12801
126 South St,Glens Falls,NY,12801
113 West Ave,Saratoga Springs,NY,12866
113 West Ave,Saratoga Springs,NY,12866
670 Liberty St,Schenectady,NY,12305
670 Liberty St,Schenectady,NY,12305
1A Lakeview Drive,Clifton Park,NY,12065
1A Lakeview Drive,Clifton Park,NY,12065
700 Warren Rd,Ithaca,NY,14850
700 Warren Rd,Ithaca,NY,14850
22050 US-11,Watertown,NY,13601
22050 US-11,Watertown,NY,13601
34 Cornell Dr,Canton,NY,13617
34 Cornell Dr,Canton,NY,13617
Campus Loop Rd,Utica,NY,13502
Campus Loop Rd,Utica,NY,13502
N Barry St,Olean,NY,14760
N Barry St,Olean,NY,14760
3380 Big Tree Rd,Hamburg,NY,14075
3380 Big Tree Rd,Hamburg,NY,14075
350 Prospect St,Niagara Falls,NY,14303
350 Prospect St,Niagara Falls,NY,14303
1 Flint rd,Buffalo,NY,14221
1 Flint rd,Buffalo,NY,14221
600 Riverwalk Pkwy,Tonawanda,NY,14150
600 Riverwalk Pkwy,Tonawanda,NY,14150
5274 Main St,Williamsville,NY,14221
5274 Main St,Williamsville,NY,14221
6081 US-219,Ellicottville,NY,14731
6081 US-219,Ellicottville,NY,14731
Bissel Hall,Buffalo,NY,14228
Bissel Hall,Buffalo,NY,14228
1220 Coffeen street,Watertown,NY,13601
56 Rock City Rd Woodstock Community Ctr.,Woodstock,NY,12498
56 Rock City Rd Woodstock Community Ctr.,Woodstock,NY,12498
141 Prospect Ave,Mamaroneck,NY,10543
141 Prospect Ave,Mamaroneck,NY,10543
156 Sacandaga Rd,Scotia,NY,12302
156 Sacandaga Rd,Scotia,NY,12302
121 Westmoreland Ave,White Plains,NY,10606
121 Westmoreland Ave,White Plains,NY,10606
2 Broadway,Kingston,NY,12401
2 Broadway,Kingston,NY,12401
95 Dock St TR Gallo Waterfront Park,Kingston,NY,12401
95 Dock St TR Gallo Waterfront Park,Kingston,NY,12401
College Cir,Ithaca,NY,14850
College Cir,Ithaca,NY,14850
2 Colvin Cir,Troy,NY,12180
2 Colvin Cir,Troy,NY,12180
730 Library Rd,Rochester,NY,14627
730 Library Rd,Rochester,NY,14627
255 Crittenden Blvd,Rochester,NY,14620
255 Crittenden Blvd,Rochester,NY,14620
683 Northland Ave,Buffalo,NY,14211
683 Northland Ave,Buffalo,NY,14211
Point Place Casino 450 St Route 31,Bridgeport,NY,13030
Point Place Casino 450 St Route 31,Bridgeport,NY,13030
83 Mortimer St,Rochester,NY,14604
83 Mortimer St,Rochester,NY,14604
727-799 E Washington St,Syracuse,NY,13244
727-799 E Washington St,Syracuse,NY,13244
281 Phelps Ln,North Babylon,NY,11703
N Jefferson Ave,Lindenhurst,NY,11757
151 Phelps Ln,North Babylon,NY,11703
100 Ocean Pkwy,Babylon,NY,11702
Tanner Park,Amityville,NY,11701
1501 Lido Blvd,Point Lookout,NY,11569
1501 Lido Blvd,Point Lookout,NY,11569
LGA West Garage LaGuardia Airport,Flushing,NY,11371
N Jefferson Ave,Lindenhurst,NY,11757
LGA West Garage LaGuardia Airport,East Elmhurst,NY,11371
36 Pine Street,Poughkeepsie,NY,12601
36 Pine Street,Poughkeepsie,NY,12601
671-699 W State St,Ithaca,NY,14850
671-699 W State St,Ithaca,NY,14850
4401 NY-31,Clay,NY,13041
4401 NY-31,Clay,NY,13041
66 Southern Blvd,Nesconset,NY,11767
66 Southern Blvd,Nesconset,NY,11767
3092 NY-28,Old Forge,NY,13420
3092 NY-28,Old Forge,NY,13420
Ryder Park 43 Morningside Drive,Ossining,NY,10562
Ryder Park 43 Morningside Drive,Ossining,NY,10562
118 Dryden Rd,Ithaca,NY,14850
118 Dryden Rd,Ithaca,NY,14850
Louis Engel Park (Waterfront Park) 161-185 We,Ossining,NY,10562
Louis Engel Park (Waterfront Park) 161-185 We,Ossining,NY,10562
Cedar Lane Park 235 Cedar Lane,Ossining,NY,10562
Cedar Lane Park 235 Cedar Lane,Ossining,NY,10562
378-390 Main St,Highland Falls,NY,10928
378-390 Main St,Highland Falls,NY,10928
17-21 Division St,Saratoga Springs,NY,12866
17-21 Division St,Saratoga Springs,NY,12866
2 Gingerbread Ln,East Hampton,NY,11937
2 Gingerbread Ln,East Hampton,NY,11937
423 1st St,Ithaca,NY,14850
423 1st St,Ithaca,NY,14850
356 Villa Roma Rd,Callicoon,NY,12723
356 Villa Roma Rd,Callicoon,NY,12723
227 W Main St,Johnstown,NY,12095
227 W Main St,Johnstown,NY,12095
202 NY-79,Ithaca,NY,14850
202 NY-79,Ithaca,NY,14850
1713 5th Ave,Troy,NY,12180
1713 5th Ave,Troy,NY,12180
2609 NY-23,Hillsdale,NY,12529
2609 NY-23,Hillsdale,NY,12529
1 Kennedy Plaza,Utica,NY,13502
1 Kennedy Plaza,Utica,NY,13502
211 Ridge Park Ave,Cheektowaga,NY,14225
211 Ridge Park Ave,Cheektowaga,NY,14225
Conservatory Dr,Ithaca,NY,14850
Conservatory Dr,Ithaca,NY,14850
82 Liftside Dr,Hunter,NY,12442
82 Liftside Dr,Hunter,NY,12442
245 N Main St,Herkimer,NY,13350
245 N Main St,Herkimer,NY,13350
70 E Main St,Victor,NY,14564
70 E Main St,Victor,NY,14564
12-40 Water St,Brockport,NY,14420
12-40 Water St,Brockport,NY,14420
235 S Cayuga St,Ithaca,NY,14850
235 S Cayuga St,Ithaca,NY,14850
3586 State Rte 55,Kauneonga Lake,NY,12749
3586 State Rte 55,Kauneonga Lake,NY,12749
50 Red Oaks Mill Rd,Poughkeepsie,NY,12603
50 Red Oaks Mill Rd,Poughkeepsie,NY,12603
10 Elm St,Trumansburg,NY,14886
10 Elm St,Trumansburg,NY,14886
Taughannock State Park Access Rd,Trumansburg,NY,14886
Taughannock State Park Access Rd,Trumansburg,NY,14886
13 Scribner Hollow Rd,Hunter,NY,12442
13 Scribner Hollow Rd,Hunter,NY,12442
1 Lincoln St,Auburn,NY,13021
1 Lincoln St,Auburn,NY,13021
2-42 Jay St Jay Street Lot,Katonah,NY,10536
2-42 Jay St Jay Street Lot,Katonah,NY,10536
11 Railroad Ave,Bedford Hills,NY,10507
11 Railroad Ave,Bedford Hills,NY,10507
321 Bedford Rd.,Bedford Hills,NY,10507
321 Bedford Rd.,Bedford Hills,NY,10507
60 Haines Rd.,Bedford Hills,NY,10507
60 Haines Rd.,Bedford Hills,NY,10507
70 Katonah Ave.  Lot 1,Katonah,NY,10536
70 Katonah Ave.  Lot 1,Katonah,NY,10536
65 Greenwich Rd,Bedford,NY,10506
65 Greenwich Rd,Bedford,NY,10506
PTL Arthur Chaires Ln,Schenectady,NY,12309
PTL Arthur Chaires Ln,Schenectady,NY,12309
500-530 Liberty St,Schenectady,NY,12305
500-530 Liberty St,Schenectady,NY,12305
154 Erie Blvd,Schenectady,NY,12305
154 Erie Blvd,Schenectady,NY,12305
50-54 Park St,Glens Falls,NY,12801
50-54 Park St,Glens Falls,NY,12801
4052 NY-42 Town Hall,Monticello,NY,12701
4052 NY-42 Town Hall,Monticello,NY,12701
14 State St,Pittsford,NY,14534
14 State St,Pittsford,NY,14534
1000 Innovation Road,Stony Brook,NY,11790
1000 Innovation Road,Stony Brook,NY,11790
9 Glen Street,Glen Cove,NY,11542
9 Glen Street,Glen Cove,NY,11542
5 Pearl St,Kingston,NY,12401
5 Pearl St,Kingston,NY,12401
NY-17,Nichols,NY,13812
NY-17,Nichols,NY,13812
49 State St,Brockport,NY,14420
49 State St,Brockport,NY,14420
2-6 E Thomas St,Shelter Island,NY,11964
2-6 E Thomas St,Shelter Island,NY,11964
105 S Main St,Canandaigua,NY,14424
105 S Main St,Canandaigua,NY,14424
205 Brooklea Dr,Fayetteville,NY,13066
205 Brooklea Dr,Fayetteville,NY,13066
5 Chestnut St,Geneseo,NY,14454
5 Chestnut St,Geneseo,NY,14454
8 Clarkson Ave,Potsdam,NY,13676
8 Clarkson Ave,Potsdam,NY,13676
207 Troy Schenectady Rd,Watervliet,NY,12189
207 Troy Schenectady Rd,Watervliet,NY,12189
20 Old Post Rd,Lake George,NY,12845
20 Old Post Rd,Lake George,NY,12845
20 Payne St,Hamilton,NY,13346
20 Payne St,Hamilton,NY,13346
15-21 James St,Lake George,NY,12845
15-21 James St,Lake George,NY,12845
Case Center Dr,Saratoga Springs,NY,12866
Case Center Dr,Saratoga Springs,NY,12866
Veterans Dr,New Paltz,NY,12561
Veterans Dr,New Paltz,NY,12561
Diefendorf Loop,Buffalo,NY,14215
Diefendorf Loop,Buffalo,NY,14215
128 W Main St,Goshen,NY,10924
128 W Main St,Goshen,NY,10924
382 Main St,Rosendale,NY,12472
382 Main St,Rosendale,NY,12472
1133 Route 414 Massimo level parking garage,Tyre,NY,13165
1133 Route 414 Massimo level parking garage,Tyre,NY,13165
Putnam Way,Buffalo,NY,14228
Putnam Way,Buffalo,NY,14228
655 Elmwood Ave,Rochester,NY,14620
655 Elmwood Ave,Rochester,NY,14620
Clark Drive,Rochester,NY,14623
Clark Drive,Rochester,NY,14623
Campus Dr,Stony Brook,NY,11790
Campus Dr,Stony Brook,NY,11790
152 The Arches Cir,Deer Park,NY,11729
152 The Arches Cir,Deer Park,NY,11729
East Garage E End Rd LaGuardia Airport,New York,NY,11371
East Garage E End Rd LaGuardia Airport,New York,NY,11371
17 Broadway,Schenectady,NY,12305
17 Broadway,Schenectady,NY,12305
1521 Old Country Rd,Riverhead,NY,11901
1521 Old Country Rd,Riverhead,NY,11901
2311 North St,Endicott,NY,13760
2311 North St,Endicott,NY,13760
113 Broad St,Hamilton,NY,13346
113 Broad St,Hamilton,NY,13346
291 W Sunrise Hwy,Freeport,NY,11520
291 W Sunrise Hwy,Freeport,NY,11520
100 Cleveland Ave,Freeport,NY,11520
100 Cleveland Ave,Freeport,NY,11520
521-641 US-9W,Glenmont,NY,12077
521-641 US-9W,Glenmont,NY,12077
Gymnasium Rd,Stony Brook,NY,11790
Gymnasium Rd,Stony Brook,NY,11790
Lake Dr,Stony Brook,NY,11790
Lake Dr,Stony Brook,NY,11790
Circle Rd,Stony Brook,NY,11790
Circle Rd,Stony Brook,NY,11790
Tabler Dr,Stony Brook,NY,11790
Tabler Dr,Stony Brook,NY,11790
Stadium Road Lot,Stony Brook,NY,11790
Stadium Road Lot,Stony Brook,NY,11790
596 Sunrise Hwy,Bay Shore,NY,11706
596 Sunrise Hwy,Bay Shore,NY,11706
1214 Fifth Avenue,New York,NY,10029
1214 Fifth Avenue,New York,NY,10029
1021 Highbridge Rd,Schenectady,NY,12303
1021 Highbridge Rd,Schenectady,NY,12303
New York 9G,Red Hook,NY,12504
New York 9G,Red Hook,NY,12504
111 Elm Lake Road,Speculator,NY,12164
111 Elm Lake Road,Speculator,NY,12164
303 West 96th Street,New York,NY,10025
303 West 96th Street,New York,NY,10025
303 West 96th Street,New York,NY,10025
303 West 96th Street,New York,NY,10025
11 Corporate Woods Blvd,Albany,NY,12211
11 Corporate Woods Blvd,Albany,NY,12211
51 Main St,Lake Luzerne,NY,12846
51 Main St,Lake Luzerne,NY,12846
863 Route 146,Clifton Park,NY,12065
863 Route 146,Clifton Park,NY,12065
3860 California Rd,Orchard Park,NY,14127
Main Street,Amagansett,NY,11954
Main Street,Amagansett,NY,11954
Main Street,Amagansett,NY,11954
Main Street,Amagansett,NY,11954
159 Pantigo Road,East Hampton,NY,11937
159 Pantigo Road,East Hampton,NY,11937
159 Pantigo Road,East Hampton,NY,11937
159 Pantigo Road,East Hampton,NY,11937
159 Pantigo Road,East Hampton,NY,11937
159 Pantigo Road,East Hampton,NY,11937
1 Vince Tofany Blvd,Rochester,NY,14612
1 Vince Tofany Blvd,Rochester,NY,14612
800 Niagara St,Tonawanda,NY,14150
800 Niagara St,Tonawanda,NY,14150
1 Juniper Dr,Delmar,NY,12054
1 Juniper Dr,Delmar,NY,12054
8276 Lake Shore Rd,Angola,NY,14006
8276 Lake Shore Rd,Angola,NY,14006
Myrtle St Lot Charger 3 500 Seneca Street,Buffalo,NY,14204
Myrtle St Lot Charger 3 500 Seneca Street,Buffalo,NY,14204
Myrtle St Lot Charger 2 500 Seneca Street,Buffalo,NY,14204
Myrtle St Lot Charger 2 500 Seneca Street,Buffalo,NY,14204
Myrtle St Lot Charger 4 500 Seneca Street,Buffalo,NY,14204
Myrtle St Lot Charger 4 500 Seneca Street,Buffalo,NY,14204
BRL Parking Lot 4th from building 1 South Str,Buffalo,NY,14204
BRL Parking Lot 4th from building 1 South Str,Buffalo,NY,14204
BRL Parking Lot 3rd from Building  1 South St,Buffalo,NY,14204
BRL Parking Lot 3rd from Building  1 South St,Buffalo,NY,14204
"BRL Parking Lot, closest to Building 1 South",Buffalo,NY,14204
"BRL Parking Lot, closest to Building 1 South",Buffalo,NY,14204
BRL Parking Lot 2nd from Building 1 South Str,Buffalo,NY,14204
BRL Parking Lot 2nd from Building 1 South Str,Buffalo,NY,14204
"BRL Covered Lot, single charger 1 South Stree",Buffalo,NY,14204
1930 Saranac Ave,Lake Placid,NY,12946
1930 Saranac Ave,Lake Placid,NY,12946
1930 Saranac Ave,Lake Placid,NY,12946
1930 Saranac Ave,Lake Placid,NY,12946
1930 Saranac Ave,Lake Placid,NY,12946
1930 Saranac Ave,Lake Placid,NY,12946
1930 Saranac Ave,Lake Placid,NY,12946
1930 Saranac Ave,Lake Placid,NY,12946
610 Exterior St,Bronx,NY,10451
610 Exterior St,Bronx,NY,10451
Rochester Tech Park Building 1 777 Elmgrove r,Rochester,NY,14624
Rochester Tech Park Building 1 777 Elmgrove r,Rochester,NY,14624
130 Prospect St,Attica,NY,14011
130 Prospect St,Attica,NY,14011
2084 Emery Rd,South Wales,NY,14139
2084 Emery Rd,South Wales,NY,14139
1238 State Route 332,Farmington,NY,14425
1238 State Route 332,Farmington,NY,14425
134 W Main St,Le Roy,NY,14482
134 W Main St,Le Roy,NY,14482
959 Albany Shaker Rd Regional Food Bank - Lat,Latham,NY,12110
959 Albany Shaker Rd Regional Food Bank - Lat,Latham,NY,12110
4383 U.S. 9,Hyde Park,NY,12538
4383 U.S. 9,Hyde Park,NY,12538
"BRL Covered Lot, dual charger 1 South Street",Buffalo,NY,14204
"BRL Covered Lot, dual charger 1 South Street",Buffalo,NY,14204
250 Northwood Dr,Buffalo,NY,14221
250 Northwood Dr,Buffalo,NY,14221
47 Castle St,Geneva,NY,14456
47 Castle St,Geneva,NY,14456
325 North End Ave,New York,NY,10282
325 North End Ave,New York,NY,10282
145 West 56th Street,New York,NY,10019
145 West 56th Street,New York,NY,10019
215 E 96th St,New York,NY,10128
215 E 96th St,New York,NY,10128
218 Spring St,Catskill,NY,12414
218 Spring St,Catskill,NY,12414
93 E Main St,Dryden,NY,13053
93 E Main St,Dryden,NY,13053
412 Cornelia St,Plattsburgh,NY,12901
412 Cornelia St,Plattsburgh,NY,12901
1001 Main Street,Buffalo,NY,14203
1001 Main Street,Buffalo,NY,14203
42 Saratoga Ave,Waterford,NY,12188
42 Saratoga Ave,Waterford,NY,12188
100 Main St,White Plains,NY,10601
100 Main St,White Plains,NY,10601
15 Kensington Rd,Bronxville,NY,10708
15 Kensington Rd,Bronxville,NY,10708
15 Kensington Terrace,Bronxville,NY,10708
15 Kensington Terrace,Bronxville,NY,10708
106 Smith Blvd,Albany,NY,12202
106 Smith Blvd,Albany,NY,12202
907 Front St,Binghamton,NY,13905
907 Front St,Binghamton,NY,13905
1200 Rt 9w,South Nyack,NY,10960
1200 Rt 9w,South Nyack,NY,10960
5 Cross Street Town of Bolton,Bolton Landing,NY,12814
5 Cross Street Town of Bolton,Bolton Landing,NY,12814
9674 Foote Rd,Glenwood,NY,14069
9674 Foote Rd,Glenwood,NY,14069
85 Lake St,Harrison,NY,10604
85 Lake St,Harrison,NY,10604
21 Hawkins Point Rd,Massena,NY,13662
21 Hawkins Point Rd,Massena,NY,13662
21 Hawkins Point Rd,Massena,NY,13662
21 Hawkins Point Rd,Massena,NY,13662
21 Hawkins Point Rd,Massena,NY,13662
21 Hawkins Point Rd,Massena,NY,13662
104 Catlyn Ct,Delmar,NY,12054
104 Catlyn Ct,Delmar,NY,12054
708 Catlyn Ct,Delmar,NY,12054
708 Catlyn Ct,Delmar,NY,12054
101 Derzee Ct,Delmar,NY,12054
101 Derzee Ct,Delmar,NY,12054
501 Derzee Ct,Delmar,NY,12054
501 Derzee Ct,Delmar,NY,12054
701 Elkin Ct,Delmar,NY,12054
701 Elkin Ct,Delmar,NY,12054
301 Elkin Ct,Delmar,NY,12054
301 Elkin Ct,Delmar,NY,12054
701 Baxter Ct,Delmar,NY,12054
701 Baxter Ct,Delmar,NY,12054
101 Baxter Ct,Delmar,NY,12054
101 Baxter Ct,Delmar,NY,12054
101 Astor Ct,Delmar,NY,12054
101 Astor Ct,Delmar,NY,12054
401 Astor Ct,Delmar,NY,12054
401 Astor Ct,Delmar,NY,12054
22 Corporate Woods Blvd,Albany,NY,12211
22 Corporate Woods Blvd,Albany,NY,12211
615 Willow Ave,Ithaca,NY,14850
615 Willow Ave,Ithaca,NY,14850
I90 Westbound Milepost 187,Fultonville,NY,12072
I90 Westbound Milepost 187,Fultonville,NY,12072
21 Lafayette Street,Queensbury,NY,12804
21 Lafayette Street,Queensbury,NY,12804
105 Main St,Queensbury,NY,12804
105 Main St,Queensbury,NY,12804
742 Bay Rd,Queensbury,NY,12804
742 Bay Rd,Queensbury,NY,12804
100 Nicolls Road,Stony Brook,NY,11790
100 Nicolls Road,Stony Brook,NY,11790
9091 NY-22,Hillsdale,NY,12529
9091 NY-22,Hillsdale,NY,12529
2500 Walden Ave,Cheektowaga,NY,14225
2500 Walden Ave,Cheektowaga,NY,14225
2500 Walden Ave,Cheektowaga,NY,14225
2500 Walden Ave,Cheektowaga,NY,14225
655 New York 318,Waterloo,NY,13165
655 New York 318,Waterloo,NY,13165
655 New York 318,Waterloo,NY,13165
655 New York 318,Waterloo,NY,13165
10 Seminay St,Cazenovia,NY,13035
10 Seminay St,Cazenovia,NY,13035
400 East 56th Street,New York,NY,10022
400 East 56th Street,New York,NY,10022
400 East 56th Street,New York,NY,10022
400 East 56th Street,New York,NY,10022
400 East 56th Street,New York,NY,10022
400 East 56th Street,New York,NY,10022
2000 7th Street,Scotia,NY,12302
2000 7th Street,Scotia,NY,12302
2000 7th Street,Scotia,NY,12302
2000 7th Street,Scotia,NY,12302
475 Seaview Ave,Staten Island,NY,10305
475 Seaview Ave,Staten Island,NY,10305
475 Seaview Ave,Staten Island,NY,10305
475 Seaview Ave,Staten Island,NY,10305
475 Seaview Ave,Staten Island,NY,10305
475 Seaview Ave,Staten Island,NY,10305
475 Seaview Ave,Staten Island,NY,10305
475 Seaview Ave,Staten Island,NY,10305
4 High St,Saugerties,NY,12477
4 High St,Saugerties,NY,12477
2655 Richmond Ave.,Staten Island,NY,10314
2655 Richmond Ave.,Staten Island,NY,10314
2655 Richmond Ave.,Staten Island,NY,10314
2655 Richmond Ave.,Staten Island,NY,10314
2655 Richmond Ave.,Staten Island,NY,10314
2655 Richmond Ave.,Staten Island,NY,10314
2655 Richmond Ave.,Staten Island,NY,10314
2655 Richmond Ave.,Staten Island,NY,10314
2655 Richmond Ave.,Staten Island,NY,10314
2655 Richmond Ave.,Staten Island,NY,10314
445 Delaware Ave.,Delmar,NY,12054
445 Delaware Ave.,Delmar,NY,12054
12 Corporate Woods Blvd,Albany,NY,12211
12 Corporate Woods Blvd,Albany,NY,12211
5390 Willow Pl,Verona,NY,13478
5390 Willow Pl,Verona,NY,13478
NY State Thruway,New Paltz,NY,12561
NY State Thruway,New Paltz,NY,12561
2507 South Rd,Poughkeepsie,NY,12601
2507 South Rd,Poughkeepsie,NY,12601
3700 Main St,Stone Ridge,NY,12484
3700 Main St,Stone Ridge,NY,12484
640 Bay Rd,Queensbury,NY,12804
640 Bay Rd,Queensbury,NY,12804
47 Beekman Street,Plattsburgh,NY,12901
47 Beekman Street,Plattsburgh,NY,12901
475 East Ave,Rochester,NY,14604
475 East Ave,Rochester,NY,14604
873 State Route 37,Akwesasne,NY,13655
873 State Route 37,Akwesasne,NY,13655
5 Garraghan Dr,Kingston,NY,12401
5 Garraghan Dr,Kingston,NY,12401
333 S Broadway,Tarrytown,NY,10591
Milepost 66 Southbound,Modena,NY,12589
760 Montauk Hwy,Water Mill,NY,11976
371 North Central Avenue,Hartsdale,NY,10530
371 North Central Avenue,Hartsdale,NY,10530
371 North Central Avenue,Hartsdale,NY,10530
371 North Central Avenue,Hartsdale,NY,10530
11 sitterly road,Clifton Park,NY,12065
11 sitterly road,Clifton Park,NY,12065
1120 South Ave,Staten Island,NY,10314
1120 South Ave,Staten Island,NY,10314
Fairport Park & Ride State Route 31F,Pittsford,NY,14618
Fairport Park & Ride State Route 31F,Pittsford,NY,14618
100 Baron Court,Monsey,NY,10952
319 Bay Rd Convenient Medical Center,Queensbury,NY,12804
319 Bay Rd Convenient Medical Center,Queensbury,NY,12804
501 New Karner Rd,Albany,NY,12205
501 New Karner Rd,Albany,NY,12205
10401 Bennett Road,Fredonia,NY,14063
10401 Bennett Road,Fredonia,NY,14063
10401 Bennett Road,Fredonia,NY,14063
10401 Bennett Road,Fredonia,NY,14063
532 W 122nd St,New York,NY,10027
532 W 122nd St,New York,NY,10027
532 W 122nd St,New York,NY,10027
532 W 122nd St,New York,NY,10027
5687 Big Tree Rd,Lakeville,NY,14480
5687 Big Tree Rd,Lakeville,NY,14480
5687 Big Tree Rd,Lakeville,NY,14480
5687 Big Tree Rd,Lakeville,NY,14480
"12 S Astor St,",Irvington,NY,10533
"12 S Astor St,",Irvington,NY,10533
110 Main Street,irvington,NY,10533
110 Main Street,irvington,NY,10533
185 Main St,Mount Morris,NY,14510
185 Main St,Mount Morris,NY,14510
185 Main St,Mount Morris,NY,14510
185 Main St,Mount Morris,NY,14510
11 Main St,Mount Morris,NY,14510
11 Main St,Mount Morris,NY,14510
11 Main St,Mount Morris,NY,14510
11 Main St,Mount Morris,NY,14510
"323 Owego St,",Montour Falls,NY,14865
"323 Owego St,",Montour Falls,NY,14865
"323 Owego St,",Montour Falls,NY,14865
"323 Owego St,",Montour Falls,NY,14865
8420 Alleghany Rd,Corfu,NY,14036
8420 Alleghany Rd,Corfu,NY,14036
2182 Alvin Rd,Grand Island,NY,14072
2182 Alvin Rd,Grand Island,NY,14072
2182 Alvin Rd,Grand Island,NY,14072
370 NY-23,Catskill,NY,12451
